recommendation_id,user_id,movie_id,recommendation_date,recommendation_type,recommendation_score,was_clicked,position_in_list,device_type,time_of_day,algorithm_version
rec_000001,user_06326,movie_0771,2025-07-03,new_releases,,False,10,Tablet,evening,v1.4
rec_000002,user_02180,movie_0985,2024-11-07,genre_based,0.916,False,9,Mobile,evening,v1.4
rec_000003,user_03535,movie_0834,2024-08-22,personalized,0.816,False,2,Tablet,evening,v1.4
rec_000004,user_05025,movie_0718,2024-04-12,trending,0.771,False,16,Mobile,evening,v1.2
rec_000005,user_06794,movie_0718,2025-10-30,similar_users,0.251,False,9,Tablet,evening,v1.3
rec_000006,user_03345,movie_0346,2024-09-01,personalized,0.975,False,13,Smart TV,morning,v2.0
rec_000007,user_01519,movie_0264,2024-06-28,similar_users,0.722,False,20,Mobile,night,v1.2
rec_000008,user_03328,movie_0385,2024-10-09,personalized,0.755,False,11,Tablet,night,v1.4
rec_000009,user_04944,movie_0957,2025-11-13,new_releases,0.59,False,14,Tablet,night,v1.4
rec_000010,user_07953,movie_0815,2025-02-08,personalized,,False,13,Tablet,morning,v1.4
rec_000011,user_00713,movie_0578,2025-09-19,personalized,0.496,False,3,Tablet,evening,
rec_000012,user_06987,movie_0779,2024-08-21,genre_based,0.231,False,19,Tablet,night,v1.3
rec_000013,user_04332,movie_0760,2025-03-19,trending,0.23,False,14,Mobile,evening,v1.4
rec_000014,user_09265,movie_0049,2025-07-01,genre_based,0.426,False,15,Smart TV,morning,v1.3
rec_000015,user_02626,movie_0422,2024-02-06,new_releases,0.218,False,20,Mobile,evening,v1.3
rec_000016,user_05233,movie_0446,2025-06-14,similar_users,0.2,False,5,Mobile,morning,v1.4
rec_000017,user_08586,movie_0738,2025-03-18,similar_users,0.963,False,9,Mobile,evening,v1.4
rec_000018,user_06771,movie_0246,2025-11-09,trending,0.76,False,6,Laptop,morning,v1.3
rec_000019,user_08374,movie_0793,2025-06-14,personalized,0.931,True,1,Smart TV,morning,v2.0
rec_000020,user_02188,movie_0077,2025-03-08,genre_based,0.622,True,19,Tablet,afternoon,v1.3
rec_000021,user_03307,movie_0087,2025-04-13,personalized,,False,15,Tablet,afternoon,v1.3
rec_000022,user_02648,movie_0160,2024-05-25,trending,0.126,False,16,Laptop,morning,v1.3
rec_000023,user_06640,movie_0938,2025-08-31,similar_users,0.747,False,15,Laptop,morning,v1.4
rec_000024,user_05145,movie_0018,2024-04-27,personalized,0.53,False,4,Smart TV,evening,v1.3
rec_000025,user_02886,movie_0535,2025-01-17,similar_users,0.25,True,2,Smart TV,night,v1.3
rec_000026,user_07909,movie_0354,2025-04-20,new_releases,0.967,False,16,Laptop,afternoon,v1.4
rec_000027,user_01828,movie_0570,2025-12-05,trending,0.151,False,5,Mobile,morning,v1.4
rec_000028,user_09984,movie_0330,2025-04-10,personalized,0.757,False,14,Tablet,morning,v1.4
rec_000029,user_01745,movie_0939,2025-04-28,genre_based,0.486,False,15,Mobile,night,v1.4
rec_000030,user_01099,movie_0409,2025-12-11,new_releases,0.56,False,1,Mobile,morning,v1.3
rec_000031,user_09940,movie_0067,2025-02-25,similar_users,0.154,True,11,Smart TV,morning,v2.0
rec_000032,user_04183,movie_0267,2024-05-26,similar_users,0.222,False,3,Tablet,morning,v1.3
rec_000033,user_02018,movie_0987,2025-10-11,personalized,0.647,False,8,Smart TV,night,v1.4
rec_000034,user_05197,movie_0596,2025-10-01,personalized,0.707,False,5,Smart TV,night,v1.4
rec_000035,user_08425,movie_0777,2025-01-28,personalized,0.337,False,7,Tablet,afternoon,v2.0
