movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning,is_imdb_rating_missing,is_production_budget_missing,is_box_office_revenue_missing
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35.0,TV-Y,French,Japan,6.4,0.0,0.0,1,1,0,2023-08-07,0,1,1,1
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,unknown,2017,37.0,PG,Japanese,USA,3.3,0.0,0.0,1,1,0,2022-01-28,1,0,1,1
movie_0003,Fire Family,Movie,Drama,unknown,2003,142.0,TV-MA,English,USA,8.5,2114120.0,0.0,1,1,0,2021-05-04,1,0,0,1
movie_0004,Our Princess,Documentary,Sci-Fi,unknown,2011,131.0,NC-17,Japanese,USA,5.3,0.0,0.0,1,1,0,2022-11-26,0,0,1,1
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91.0,TV-G,English,USA,3.1,0.0,0.0,1,1,0,2023-06-15,0,0,1,1
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113.0,PG-13,English,USA,8.0,4214426.0,792291.0,1,1,0,2021-01-21,0,0,0,0
movie_0007,Battle Story,TV Series,Sci-Fi,unknown,2003,52.0,TV-Y7,English,USA,6.4,0.0,0.0,1,158,0,2021-11-30,0,1,1,1
movie_0008,Old House,Movie,Horror,unknown,1991,109.0,TV-Y,Spanish,South Korea,7.7,629216.0,3995303.0,1,1,0,2020-10-04,0,0,0,0
movie_0009,Dragon Empire,Movie,Biography,unknown,2013,123.0,PG,Spanish,USA,8.4,0.0,0.0,1,1,0,2024-05-09,0,0,1,1
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,0.0,0.0,12,32,0,2021-09-20,0,0,1,1
movie_0011,Day Dream,Movie,Western,unknown,2022,148.0,R,English,USA,6.4,16018207.0,0.0,1,1,1,2025-06-02,0,1,0,1
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95.0,G,English,South Korea,9.9,0.0,72997481.0,1,1,0,2025-05-22,0,0,1,0
movie_0013,Dream Journey,Movie,Romance,unknown,2013,138.0,PG,English,Germany,8.6,1758821.0,3573506.0,1,1,0,2021-01-20,1,0,0,0
movie_0014,Little War,Movie,Mystery,unknown,1990,117.0,TV-14,Korean,Japan,8.4,0.0,32793336.0,1,1,1,2020-10-01,0,0,1,0
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108.0,TV-G,English,UK,6.4,2006408.0,0.0,1,1,0,2022-09-18,0,1,0,1
movie_0016,Last Dream,TV Series,Family,unknown,1999,54.0,PG-13,Spanish,USA,6.0,0.0,0.0,1,139,0,2022-01-19,0,0,1,1
movie_0017,Kingdom Battle,Stand-up Comedy,War,unknown,2018,72.0,NC-17,Italian,UK,5.9,0.0,0.0,1,1,1,2021-10-13,0,0,1,1
